id,products_fromstore,products_frombrand
un-monde-vegan,17,0
co-operative,17,0
pasteur,17,0
afkraft,16,0
acima,16,0
bio-c-est-bon,16,0
lescomptoirsdelabio,16,0
starbucks,16,661
k-k,16,0
petit-casino,16,0
framprix,16,0
casino-geant,16,0
distributeur-automatique,16,0
дисма,16,0
suma,16,87
bofrost,16,660
alfamart,16,0
kunturi,16,0
le-grand-panier-bio,16,0
ipercoop,16,0
budni,16,0
schnucks,15,741
boutique-gerard-bertrand,15,0
pick-n-pay,15,0
marche-u,15,0
cba,15,13
gout-qualite,15,0
la-ruche-qui-dit-oui,15,0
leaderprice,15,388
tottus,15,0
dollar-tree,15,0
epicerie-fine,15,0
herbolarios,15,0
gadis,15,22
mercado-do-sol,15,0
olimpica,15,0
franky-getrankemarkt-ag,15,0
dok-supermercati,15,0
celeiro,15,0
atac,15,0
ajanta,15,0
www-chez-tante-edith-com,15,0
grocery-stores,15,0
tuš,15,0
bodega-aurrara,15,0
supermarche-asiatique,14,0
ethiquable,14,492
https-supplements-online-ecwid-com-biscotti-c116968295,14,0
woolworth-s,14,0
sarl-ajm,14,15
ajm,14,14
7-11,14,135
fix-price,14,0
nahkauf,14,0
station-total,14,0
sobeys,14,0
tjx,14,0
royal-house,14,0
atacadao,14,0
kaufpark,14,0
bio-company,14,187
la-trinitaine,14,237
la-superette-bio,14,0
waltmart,14,0
futuroscope,14,0
une-petite-mousse,14,0
leglutenenmoins-com,14,0
grocery,14,0
supermarche-asiatique-independant,14,0
seven-eleven,14,0
supermercati,14,0
kruidvat,13,248
primeur,13,0
al-campo,13,0
vivo,13,177
les-nouveaux-robinsons,13,0
john-lewis,13,0
fortwenger,13,208
coop-prix,13,0
label-vie,13,0
navita-shop,13,0
freshco,13,0
justo-y-bueno,13,0
maxima,13,0
bears-friends,13,14
shop-go,13,0
farmacia,13,0
oscar,13,0
רמי-לוי,13,0
aux-caprices-de-jess,13,17
alepa,13,0
super,13,24
grandes-surfaces,13,0
x-tra,13,15
jager,13,0
houra,13,0
intermarche-express,13,0
boulangerie,13,0
boots,13,103
sequoia,13,0
super-99,12,0
otherwine,12,0
citymarket,12,0
naturata,12,188
атб,12,0
kaufland-w-woj-śląskim,12,0
marcel-fils,12,19
carre-asiatique,12,0
